77 95 27.5901
77 96 2
77 97 2
77 98 8.05876
78 96 39.4121
78 97 12.7227
78 98 14.6431
78 99 29.3682
78 100 5.41142
79 97 33.1098
79 98 35.7432
79 99 32.7443
79 100 23.3638
79 101 23.0197
79 102 2
79 103 9.1768
80 99 76.6616
80 100 56.2088
80 101 50.0469
80 102 44.4312
80 103 33.6179
80 104 28.5165
80 105 12.1036
80 106 31.8884
81 102 63.6252
81 103 37.1221
81 104 30.8692
81 105 24.9899
81 106 12.3406
81 107 6.35808
82 104 25.634
82 105 15.954
82 106 17.4312
82 107 10.1358
82 108 2
82 109 2
82 110 2
82 111 2
83 106 2
83 107 2
83 108 2
83 109 2
83 110 2
83 111 2
83 112 2
83 113 2
83 114 2
84 108 7.16565
84 109 4.29144
84 110 2
84 111 2
84 112 2
84 113 2
84 114 2
84 115 4.63402
84 116 2
84 117 2
85 111 22.2306
85 112 2
85 113 2
85 114 2
85 115 2
85 116 2
85 117 2.68491
85 118 2
86 114 2
86 115 2
86 116 2
86 117 2
86 118 2
86 119 2.01963
86 120 7.96152
87 116 14.4873
87 117 2
87 118 2
87 119 2
87 120 2
87 121 2
87 122 2
87 123 2
87 124 2
88 121 2
88 122 2
88 123 2
88 124 2
88 125 2
88 126 2
89 123 2
89 124 2
89 125 2
89 126 2
89 127 2
89 128 2
89 129 3.81067
90 126 2
90 127 2
90 129 2
90 130 2
89 130 2
89 131 3.30119
89 134 2
89 138 2
90 131 2
90 132 2
90 133 2
90 135 2
90 136 7.7225
90 139 72.2939
90 140 81.2252
91 137 57.9722
91 138 71.6338
91 140 82.1061
91 141 93.1166
92 142 90.428
92 143 88.9814
93 144 88.8437
93 145 87.6857
